날짜,소비자심리지수
2015-01,103.1
2015-02,103.8
2015-03,102.0
2015-04,104.8
2015-05,106.2
2015-06,98.8
2015-07,100.8
2015-08,102.2
2015-09,103.4
2015-10,105.9
2015-11,106.6
2015-12,103.3
2016-01,100.5
2016-02,98.3
2016-03,100.6
2016-04,102.2
2016-05,99.8
2016-06,99.3
2016-07,101.6
2016-08,102.5
2016-09,102.4
2016-10,102.7
2016-11,96.0
2016-12,94.3
2017-01,93.3
2017-02,94.5
2017-03,97.0
2017-04,101.8
2017-05,109.0
2017-06,112.3
2017-07,112.5
2017-08,111.1
2017-09,108.8
2017-10,110.3
2017-11,113.6
2017-12,112.1
2018-01,111.3
2018-02,109.6
2018-03,109.5
2018-04,108.5
2018-05,109.4
2018-06,106.8
2018-07,102.1
2018-08,100.1
2018-09,101.0
2018-10,100.2
2018-11,96.6
2018-12,97.8
2019-01,98.5
2019-02,100.6
2019-03,100.8
2019-04,102.7
2019-05,98.9
2019-06,98.6
2019-07,97.0
2019-08,93.5
2019-09,98.0
2019-10,99.7
2019-11,102.0
2019-12,101.5
2020-01,105.3
2020-02,98.0
2020-03,79.7
2020-04,72.1
2020-05,78.8
2020-06,83.1
2020-07,85.4
2020-08,89.3
2020-09,80.7
2020-10,92.7
2020-11,99.1
2020-12,91.0
2021-01,95.3
2021-02,97.4
2021-03,100.6
2021-04,102.4
2021-05,105.5
2021-06,110.8
2021-07,103.6
2021-08,102.8
2021-09,104.1
2021-10,107.3
2021-11,108.2
2021-12,104.3
2022-01,104.9
2022-02,103.5
2022-03,103.7
2022-04,104.3
2022-05,103.1
2022-06,96.8
2022-07,86.2
2022-08,89.0
2022-09,91.6
2022-10,89.0
2022-11,86.6
2022-12,90.1
2023-01,90.7
2023-02,90.2
2023-03,92.0
2023-04,95.2
2023-05,98.1
2023-06,100.8
2023-07,103.4
2023-08,103.3
2023-09,99.8
2023-10,98.2
2023-11,97.3
2023-12,99.7
2024-01,101.6
2024-02,101.9
2024-03,100.7
2024-04,100.7
2024-05,98.4
2024-06,100.9
2024-07,103.6
2024-08,100.8
2024-09,100.0
2024-10,101.8
2024-11,100.7
2024-12,88.2
