날짜,경제심리지수(원계열),경제심리지수(순환변동치)
2024-12,83.3,90.1
2024-11,93.0,91.2
2024-10,92.8,92.2
2024-09,94.0,92.9
2024-08,94.5,93.4
2024-07,96.3,93.7
2024-06,95.0,93.7
2024-05,94.1,93.6
2024-04,94.8,93.5
2024-03,92.5,93.4
2024-02,93.7,93.4
2024-01,91.8,93.4
2023-12,91.7,93.4
2023-11,91.8,93.4
2023-10,92.4,93.5
2023-09,93.4,93.5
2023-08,94.7,93.5
2023-07,94.8,93.4
2023-06,96.4,93.2
2023-05,94.9,93.0
2023-04,94.5,92.8
2023-03,91.9,92.8
2023-02,91.8,93.0
2023-01,90.7,93.4
2022-12,92.1,94.2
2022-11,91.9,95.1
2022-10,95.7,96.3
2022-09,98.6,97.7
2022-08,99.9,99.1
2022-07,98.5,100.5
2022-06,103.4,101.8
2022-05,107.6,103.2
2022-04,106.6,104.3
2022-03,104.3,105.3
2022-02,106.7,106.2
2022-01,106.4,106.9
2021-12,105.3,107.4
2021-11,107.4,107.6
2021-10,106.6,107.6
2021-09,105.3,107.4
2021-08,105.8,107.0
2021-07,104.6,106.3
2021-06,110.1,105.3
2021-05,105.9,103.8
2021-04,106.0,101.9
2021-03,101.7,99.6
2021-02,96.8,96.9
2021-01,92.9,94.0
2020-12,85.7,90.8
2020-11,91.9,87.6
2020-10,88.8,84.2
2020-09,77.4,80.9
2020-08,83.1,77.9
2020-07,76.8,75.5
2020-06,68.2,73.9
2020-05,63.5,73.7
2020-04,61.3,75.1
2020-03,68.6,78.0
2020-02,90.0,81.8
2020-01,98.0,85.7
2019-12,95.3,88.9
2019-11,94.8,91.3
2019-10,93.4,93.0
2019-09,94.5,94.0
2019-08,91.5,94.5
2019-07,92.3,94.8
2019-06,95.1,95.0
2019-05,94.5,95.2
2019-04,98.1,95.3
2019-03,96.8,95.4
2019-02,97.7,95.6
2019-01,92.2,95.8
2018-12,95.0,96.1
2018-11,94.4,96.5
2018-10,95.5,96.9
2018-09,99.8,97.4
2018-08,97.3,97.8
2018-07,96.2,98.3
2018-06,100.5,98.8
2018-05,102.5,99.2
2018-04,100.5,99.7
2018-03,98.4,100.2
2018-02,101.6,100.8
2018-01,100.1,101.3
2017-12,102.7,101.7
2017-11,102.8,101.9
2017-10,102.8,101.8
2017-09,99.7,101.6
2017-08,101.1,101.3
2017-07,99.9,100.8
2017-06,100.7,100.3
2017-05,101.3,99.7
2017-04,100.3,99.2
2017-03,100.7,98.7
2017-02,98.2,98.2
2017-01,96.4,97.8
2016-12,94.1,97.5
2016-11,96.3,97.3
2016-10,96.6,97.1
2016-09,98.1,96.9
2016-08,98.1,96.5
2016-07,96.2,96.0
2016-06,95.1,95.5
2016-05,95.4,95.0
2016-04,97.1,94.7
2016-03,94.4,94.5
2016-02,92.8,94.6
2016-01,93.9,94.9
2015-12,94.0,95.4
2015-11,97.1,96.0
2015-10,97.5,96.5
2015-09,97.0,96.9
2015-08,97.3,97.3
2015-07,95.7,97.6
2015-06,91.6,98.0
2015-05,102.2,98.4
2015-04,103.7,98.9
2015-03,101.3,99.1
2015-02,103.1,99.3
2015-01,98.5,99.3
