Date,CCI_2020=100,CycleDeviation,BusinessPhase
2010-01-01,73.3,,0
2010-02-01,73.9,,0
2010-03-01,74.4,,0
2010-04-01,74.9,,0
2010-05-01,75.4,,0
2010-06-01,75.8,,0
2010-07-01,76.1,,0
2010-08-01,76.2,,0
2010-09-01,76.1,,0
2010-10-01,76.0,,0
2010-11-01,76.2,,0
2010-12-01,76.7,,0
2011-01-01,77.6,,0
2011-02-01,77.6,,0
2011-03-01,78.0,,0
2011-04-01,77.8,,0
2011-05-01,78.4,,0
2011-06-01,78.8,,0
2011-07-01,79.0,,0
2011-08-01,79.3,,0
2011-09-01,79.2,,0
2011-10-01,79.5,,0
2011-11-01,79.5,,0
2011-12-01,79.6,,0
2012-01-01,79.5,,0
2012-02-01,80.0,0.4293354088729302,0
2012-03-01,80.1,0.24780355936020784,0
2012-04-01,80.4,0.32943995208145627,0
2012-05-01,80.6,0.2986560477849613,0
2012-06-01,80.7,0.15140609099257846,0
2012-07-01,81.1,0.3837108553038594,0
2012-08-01,80.8,-0.2469135802469171,0
2012-09-01,80.9,-0.37681944683888285,0
2012-10-01,80.9,-0.6240172955974789,0
2012-11-01,81.3,-0.38473791261304086,0
2012-12-01,81.6,-0.2835076742594576,0
2013-01-01,81.9,-0.18524837907666702,0
2013-02-01,82.0,-0.33303352213336035,0
2013-03-01,82.0,-0.5795484856567916,0
2013-04-01,82.2,-0.5877657644583172,0
2013-05-01,82.4,-0.581549673029125,0
2013-06-01,82.9,-0.22386442962712472,0
2013-07-01,83.0,-0.3410018731088707,0
2013-08-01,83.3,-0.22279184533934676,0
2013-09-01,83.4,-0.3584229390680969,0
2013-10-01,83.9,-0.0262148185219675,0
2013-11-01,84.1,-0.05704235394782529,0
2013-12-01,84.5,0.15408320493065716,0
2014-01-01,84.9,0.3641006241724899,0
2014-02-01,85.2,0.4551135425755299,1
2014-03-01,85.5,0.5409219190968882,1
2014-04-01,85.6,0.40113537732529353,1
2014-05-01,85.6,0.1356979083804986,1
2014-06-01,85.8,0.10266940451746323,1
2014-07-01,86.0,0.06283014916343058,1
2014-08-01,86.3,0.13227206274803166,1
2014-09-01,86.4,-0.02082899395959254,1
2014-10-01,86.3,-0.41311823490040145,1
2014-11-01,86.4,-0.5822382804409364,1
2014-12-01,86.9,-0.30287733467945,1
2015-01-01,87.2,-0.25622254758417545,1
2015-02-01,87.8,0.1322932347976822,1
2015-03-01,87.8,-0.16601096127167422,1
2015-04-01,88.0,-0.23806824623057904,1
2015-05-01,87.8,-0.7707782373816008,1
2015-06-01,88.0,-0.849539175699113,0
2015-07-01,88.3,-0.8132638389647777,0
2015-08-01,88.9,-0.4367790346063395,0
2015-09-01,89.7,0.15184672413024194,0
2015-10-01,90.4,0.6322913883693982,0
2015-11-01,90.5,0.4372627793931494,0
2015-12-01,90.6,0.2611659510424552,0
2016-01-01,90.6,-0.02868933860041319,0
2016-02-01,90.7,-0.204651981603335,0
2016-03-01,90.8,-0.37523863860790074,0
2016-04-01,90.9,-0.5383403361344585,0
2016-05-01,91.4,-0.2618943692710551,0
2016-06-01,91.8,-0.09794319294809382,0
2016-07-01,92.3,0.1714744633283424,0
2016-08-01,92.7,0.3311903370348541,0
2016-09-01,92.7,0.06476683937824079,1
2016-10-01,92.8,-0.08828405934412248,1
2016-11-01,93.3,0.18899531807053171,1
2016-12-01,93.8,0.46268528832146766,1
2017-01-01,94.3,0.7284923839432611,1
2017-02-01,94.6,0.7991475759190199,1
2017-03-01,95.0,0.9800378409404777,1
2017-04-01,95.2,0.9608246548030691,1
2017-05-01,95.6,1.140475233279013,1
2017-06-01,95.8,1.108179419525063,1
2017-07-01,95.9,0.9622470679889684,1
2017-08-01,96.2,1.024951692850556,1
2017-09-01,96.7,1.2968511030567282,1
2017-10-01,96.7,1.0512675820845614,1
2017-11-01,97.1,1.2407465332082137,1
2017-12-01,96.8,0.7032582913736444,1
2018-01-01,97.2,0.8905773183035627,1
2018-02-01,97.5,0.9860380328955377,1
2018-03-01,97.7,0.998614757996163,1
2018-04-01,97.7,0.8255933952528349,1
2018-05-01,97.9,0.8779160827631876,1
2018-06-01,98.1,0.9280026337990357,1
2018-07-01,98.2,0.8772830932960918,1
2018-08-01,98.4,0.9251471825063088,1
2018-09-01,98.3,0.6594576882116728,1
2018-10-01,98.4,0.5970393391674196,1
2018-11-01,98.5,0.5184096660952014,0
2018-12-01,98.5,0.3381957460679586,0
2019-01-01,98.9,0.5776349509823839,0
2019-02-01,98.5,0.010153315057371425,0
2019-03-01,98.6,-0.05068423720224163,0
2019-04-01,98.6,-0.22868475907151287,0
2019-05-01,99.2,0.19999595967757547,0
2019-06-01,99.4,0.22383996450826638,0
2019-07-01,99.6,0.25163563160543534,0
2019-08-01,99.9,0.37981551817688564,0
2019-09-01,100.2,0.5035206323095701,0
2019-10-01,100.5,0.62477472065362,0
2019-11-01,100.5,0.44375149916047274,0
2019-12-01,101.1,0.8458684116027457,0
2020-01-01,101.4,0.9397149000557627,0
2020-02-01,100.9,0.22647806738715273,0
2020-03-01,99.9,-0.9734144842489098,0
2020-04-01,99.0,-2.0616516956194877,0
2020-05-01,98.2,-3.0506466581103795,0
2020-06-01,98.4,-3.0560974167996724,0
2020-07-01,98.8,-2.870625245772711,0
2020-08-01,99.4,-2.4974005846232243,0
2020-09-01,100.2,-1.933917945505793,0
2020-10-01,100.7,-1.6639975000976464,1
2020-11-01,101.5,-1.101042580142254,1
2020-12-01,101.6,-1.2095990043172182,1
2021-01-01,101.5,-1.5041242115477895,1
2021-02-01,101.7,-1.5145646110938886,1
2021-03-01,102.3,-1.144138224266551,1
2021-04-01,103.4,-0.31044522859181534,1
2021-05-01,103.8,-0.15774691239275276,1
2021-06-01,104.0,-0.2015161692735762,1
2021-07-01,104.2,-0.2317075506022388,1
2021-08-01,104.4,-0.2598593702231786,1
2021-09-01,104.7,-0.19065776930410186,1
2021-10-01,105.1,-0.026634198310622848,1
2021-11-01,105.7,0.3265120164015282,1
2021-12-01,106.5,0.8732879956051286,1
2022-01-01,107.3,1.4120182220289963,1
2022-02-01,107.6,1.4845415275498308,1
2022-03-01,107.7,1.3761554246126517,1
2022-04-01,107.6,1.0670273519687365,1
2022-05-01,108.0,1.2126778250520092,1
2022-06-01,108.3,1.2452322189813851,1
2022-07-01,108.8,1.4546810891458433,1
2022-08-01,109.4,1.7579760022323512,1
2022-09-01,109.7,1.7851840855106815,1
2022-10-01,109.8,1.6290262865605247,1
2022-11-01,109.6,1.2171921464324482,1
2022-12-01,109.1,0.5381694865273222,1
2023-01-01,108.8,0.06437965602868866,0
2023-02-01,109.2,0.23130300693909897,0
2023-03-01,109.9,0.6613053911960363,0
2023-04-01,110.4,,0
2023-05-01,110.7,,0
2023-06-01,110.9,,0
2023-07-01,110.8,,0
2023-08-01,110.9,,0
2023-09-01,111.0,,0
2023-10-01,111.3,,0
2023-11-01,111.6,,0
2023-12-01,111.6,,0
2024-01-01,111.9,,0
2024-02-01,112.1,,0
2024-03-01,112.0,,0
2024-04-01,112.2,,0
2024-05-01,112.0,,0
2024-06-01,112.1,,0
2024-07-01,111.8,,0
2024-08-01,111.9,,0
2024-09-01,112.1,,0
2024-10-01,112.6,,0
2024-11-01,112.3,,0
2024-12-01,112.4,,0
2025-01-01,112.2,,0
2025-02-01,112.5,,0
2025-03-01,113.0,,0
