시점, 동행종합지수(2020=100)
2010-01,73.3
2010-02,73.9
2010-03,74.4
2010-04,74.9
2010-05,75.4
2010-06,75.8
2010-07,76.1
2010-08,76.2
2010-09,76.1
2010-10,76.0
2010-11,76.2
2010-12,76.7
2011-01,77.6
2011-02,77.6
2011-03,78.0
2011-04,77.8
2011-05,78.4
2011-06,78.8
2011-07,79.0
2011-08,79.3
2011-09,79.2
2011-10,79.5
2011-11,79.5
2011-12,79.6
2012-01,79.5
2012-02,80.0
2012-03,80.1
2012-04,80.4
2012-05,80.6
2012-06,80.7
2012-07,81.1
2012-08,80.8
2012-09,80.9
2012-10,80.9
2012-11,81.3
2012-12,81.6
2013-01,81.9
2013-02,82.0
2013-03,82.0
2013-04,82.2
2013-05,82.4
2013-06,82.9
2013-07,83.0
2013-08,83.3
2013-09,83.4
2013-10,83.9
2013-11,84.1
2013-12,84.5
2014-01,84.9
2014-02,85.2
2014-03,85.5
2014-04,85.6
2014-05,85.6
2014-06,85.8
2014-07,86.0
2014-08,86.3
2014-09,86.4
2014-10,86.3
2014-11,86.4
2014-12,86.9
2015-01,87.2
2015-02,87.8
2015-03,87.8
2015-04,88.0
2015-05,87.8
2015-06,88.0
2015-07,88.3
2015-08,88.9
2015-09,89.7
2015-10,90.4
2015-11,90.5
2015-12,90.6
2016-01,90.6
2016-02,90.7
2016-03,90.8
2016-04,90.9
2016-05,91.4
2016-06,91.8
2016-07,92.3
2016-08,92.7
2016-09,92.7
2016-10,92.8
2016-11,93.3
2016-12,93.8
2017-01,94.3
2017-02,94.6
2017-03,95.0
2017-04,95.2
2017-05,95.6
2017-06,95.8
2017-07,95.9
2017-08,96.2
2017-09,96.7
2017-10,96.7
2017-11,97.1
2017-12,96.8
2018-01,97.2
2018-02,97.5
2018-03,97.7
2018-04,97.7
2018-05,97.9
2018-06,98.1
2018-07,98.2
2018-08,98.4
2018-09,98.3
2018-10,98.4
2018-11,98.5
2018-12,98.5
2019-01,98.9
2019-02,98.5
2019-03,98.6
2019-04,98.6
2019-05,99.2
2019-06,99.4
2019-07,99.6
2019-08,99.9
2019-09,100.2
2019-10,100.5
2019-11,100.5
2019-12,101.1
2020-01,101.4
2020-02,100.9
2020-03,99.9
2020-04,99.0
2020-05,98.2
2020-06,98.4
2020-07,98.8
2020-08,99.4
2020-09,100.2
2020-10,100.7
2020-11,101.5
2020-12,101.6
2021-01,101.5
2021-02,101.7
2021-03,102.3
2021-04,103.4
2021-05,103.8
2021-06,104.0
2021-07,104.2
2021-08,104.4
2021-09,104.7
2021-10,105.1
2021-11,105.7
2021-12,106.5
2022-01,107.3
2022-02,107.6
2022-03,107.7
2022-04,107.6
2022-05,108.0
2022-06,108.3
2022-07,108.8
2022-08,109.4
2022-09,109.7
2022-10,109.8
2022-11,109.6
2022-12,109.1
2023-01,108.8
2023-02,109.2
2023-03,109.9
2023-04,110.4
2023-05,110.7
2023-06,110.9
2023-07,110.8
2023-08,110.9
2023-09,111.0
2023-10,111.3
2023-11,111.6
2023-12,111.6
2024-01,111.9
2024-02,112.1
2024-03,112.0
2024-04,112.2
2024-05,112.0
2024-06,112.1
2024-07,111.8
2024-08,111.9
2024-09,112.1
2024-10,112.6
2024-11,112.3
2024-12,112.4
2025-01,112.2
2025-02,112.5
2025-03,113.0
