날짜,동행지수_순환변동치
2015-01-01,-0.8292885923313378
2015-02-01,-0.4623731662481845
2015-03-01,-0.6954513413332819
2015-04-01,-0.7285131510606959
2015-05-01,-1.161543262767566
2015-06-01,-1.1945207225475798
2015-07-01,-1.1274156139692906
2015-08-01,-0.7601888036203661
2015-09-01,-0.19279245889394758
2015-10-01,0.2748271184711939
2015-11-01,0.1427251143324213
2015-12-01,0.01095459396753995
2016-01-01,-0.2204324786197276
2016-02-01,-0.3513842239518681
2016-03-01,-0.48184706168346736
2016-04-01,-0.6117647001710651
2016-05-01,-0.34107712981551686
2016-06-01,-0.16971962061100498
2016-07-01,0.10237518921627498
2016-08-01,0.2752759710050725
2016-09-01,0.04905060616212609
2016-10-01,-0.0762351479488359
2016-11-01,0.19948408755902847
2016-12-01,0.4762742798067734
2017-01-01,0.7541998566863555
2017-02-01,0.8333215711338369
2017-03-01,1.0136943566419774
2017-04-01,0.995366716753054
2017-05-01,1.1783793332936767
2017-06-01,1.1627652077917503
2017-07-01,1.048548249342005
2017-08-01,1.1357433950854414
2017-09-01,1.4243574915129784
2017-10-01,1.2143886216634314
2017-11-01,1.4058238781628773
2017-12-01,0.8986409833548237
2018-01-01,1.0928068121762635
2018-02-01,1.1882813056059973
2018-03-01,1.1850159724715184
2018-04-01,0.9829531527630451
2018-05-01,0.9820260428290482
2018-06-01,0.9821602545028867
2018-07-01,0.8832738222564274
2018-08-01,0.8852772021644597
2018-09-01,0.5880740349173408
2018-10-01,0.49156113036282534
2018-11-01,0.39563076074031756
2018-12-01,0.20017140537936484
2019-01-01,0.40506849090286323
2019-02-01,-0.18979410059864676
2019-03-01,-0.28453561256316107
2019-04-01,-0.4792738239680574
2019-05-01,-0.07412431829970956
2019-06-01,-0.06919898094406562
2019-07-01,-0.06460912534012664
2019-08-01,0.03953446901591917
2019-09-01,0.14312152115498122
2019-10-01,0.24604144505812542
2019-11-01,0.04818255037363883
2019-12-01,0.4494312482818543
2020-01-01,0.5496735781841977
2020-02-01,-0.15120788835169208
2020-03-01,-1.3533348210665679
2020-04-01,-2.456827722973671
2020-05-01,-3.4617966546878733
2020-06-01,-3.46833271982004
2020-07-01,-3.2765003105871386
2020-08-01,-2.886337057379478
2020-09-01,-2.2978553089492806
2020-10-01,-2.0110451429294613
2020-11-01,-1.4258789065878972
2020-12-01,-1.5423134298688268
2021-01-01,-1.8602945405643823
2021-02-01,-1.8797561659000763
2021-03-01,-1.5006178789768825
2021-04-01,-0.622784748604289
2021-05-01,-0.4461502647502442
2021-06-01,-0.47060311194474025
2021-07-01,-0.4960285322003273
2021-08-01,-0.5223081363327111
2021-09-01,-0.44931970777696506
2021-10-01,-0.2769369998128042
2021-11-01,0.09496970125313453
2021-12-01,0.6665322459737695
2022-01-01,1.2378817521111642
2022-02-01,1.3091441944316529
2022-03-01,1.1804359961448228
2022-04-01,0.8518634790390109
2022-05-01,1.0235238566001215
2022-06-01,1.0955077692933202
2022-07-01,1.3678979600231997
2022-08-01,1.7407687187022987
2022-09-01,1.8141837804748917
2022-10-01,1.688193448627871
2022-11-01,1.2628340281164725
2022-12-01,0.5381287977119484
2023-01-01,0.014091292095756103
2023-02-01,0.19073089372098195
2023-03-01,0.668056876311681
2023-04-01,0.9460770419028819
2023-05-01,1.024794037769837
2023-06-01,1.0042032112106085
2023-07-01,0.6842920021618539
2023-08-01,0.5650401020787257
2023-09-01,0.4464219223854258
2023-10-01,0.5284075146288814
2023-11-01,0.6109634857425306
2023-12-01,0.3940523654413255
2024-01-01,0.4776319692157074
2024-02-01,0.4616570720285722
2024-03-01,0.14607876341094084
2024-04-01,0.13084457072504563
2024-05-01,-0.28409910581780196
2024-06-01,-0.3988068756094094
2024-07-01,-0.91333115591884
2024-08-01,-1.0277212868016221
2024-09-01,-1.0420195610049632
2024-10-01,-0.7562603413278595
2024-11-01,-1.270469950294995
2024-12-01,-1.3846688750886642
